"","id","gpt3_id","temperature","aut_object","gpt3_response"
"1",1,"cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH",0.65,"book","door stop"
"2",1,"cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH",0.65,"book","start a fire in an emergency situation"
"3",1,"cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH",0.65,"book","paperweight"
"4",1,"cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH",0.65,"book","prop up a table or chair leg that is wobbling"
"5",1,"cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH",0.65,"book","coaster for drinks to protect"
"6",2,"cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr",0.65,"book","doorstop"
"7",2,"cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr",0.65,"book","prop up a wobbly table"
"8",2,"cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr",0.65,"book","paperweight"
"9",2,"cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr",0.65,"book","make a papier-mâché mask"
"10",2,"cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr",0.65,"book","cut up and made into a collage"
"11",3,"cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5",0.65,"book","door stop"
"12",3,"cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5",0.65,"book","hold up a table leg"
"13",3,"cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5",0.65,"book","coaster for your beverage"
"14",3,"cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5",0.65,"book","fan yourself on a hot day"
"15",3,"cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5",0.65,"book","weight to keep paper from flying away in the wind"
"16",4,"cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc",0.66,"book","Bookend"
"17",4,"cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc",0.66,"book","Doorstop"
"18",4,"cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc",0.66,"book","Paperweight"
"19",4,"cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc",0.66,"book","Decoration"
"20",4,"cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc",0.66,"book","Cat bed/house"
"21",4,"cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc",0.66,"book","Dog house/kennel"
"22",4,"cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc",0.66,"book","Bird house"
"23",4,"cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc",0.66,"book","Planter"
"24",4,"cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc",0.66,"book","Halloween decoration"
"25",5,"cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi",0.66,"book","doorstop"
"26",5,"cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi",0.66,"book","prop up a wobbly table"
"27",5,"cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi",0.66,"book","paperweight"
"28",5,"cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi",0.66,"book","make a papier-mâché sculpture"
"29",5,"cmpl-59yPVaQPKEJza6W5xOwmv6du0dusi",0.66,"book","used as fuel for a bonfire"
"30",6,"cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H",0.66,"book","paperweight"
"31",6,"cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H",0.66,"book","prop up a table leg"
"32",6,"cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H",0.66,"book","use as a doorstop"
"33",6,"cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H",0.66,"book","birdhouse"
"34",6,"cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H",0.66,"book","carve into a sculpture"
"35",6,"cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H",0.66,"book","As part of a piñata"
"36",6,"cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H",0.66,"book","As fuel for a fire"
"37",6,"cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H",0.66,"book","line the bottom of a birdcage"
"38",6,"cmpl-59yPazYVZuHkYy7MRitdCvkE3vH7H",0.66,"book","co"
"39",7,"cmpl-59yPeOk1Dadl9K2qbtcBmQknDu7UH",0.77,"book","doorstop"
"40",7,"cmpl-59yPeOk1Dadl9K2qbtcBmQknDu7UH",0.77,"book","keep a table level"
"41",7,"cmpl-59yPeOk1Dadl9K2qbtcBmQknDu7UH",0.77,"book","help with balance when doing Yoga or Pilates"
