"user_id","temperature","human","exp_condition","respondent_id","response_id","object","response","cos_dist_objc_resp"
"cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX","0.6","0","1","202208001","2022080002","book","doorstop",0.847085744142532
"cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX","0.6","0","1","202208001","2022080003","book","level table",0.720936506986618
"cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX","0.6","0","1","202208001","2022080004","book","paperweight",0.939968150109053
"cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX","0.6","0","1","202208001","2022080005","book","help start fire",0.664647221565247
"cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX","0.6","0","1","202208001","2022080006","book","ripped up d kindling for fire",0.78932598233223
"cmpl-5kwPhu78O2gzaQVpMQ0C6t1LLcznX","0.6","0","1","202208001","2022080007","book","given gift",0.563587635755539
"cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf","0.6","0","2","202208002","2022080009","book","read it",0.344389021396637
"cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf","0.6","0","2","202208002","2022080010","book","doorstop",0.847085744142532
"cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf","0.6","0","2","202208002","2022080011","book","prop up table",0.773339003324509
"cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf","0.6","0","2","202208002","2022080012","book","in place of cutting board",0.678228259086609
"cmpl-5kwPlJz19pEFCKj4u8uKbe2PvvXWf","0.6","0","2","202208002","2022080013","book","bookend",0.90080663561821
"cmpl-5kwPnlrFKHF6jHmwtR53XvIHHEmW1","0.6","0","3","202208003","2022080015","book","paperweight keep papers from flying away",0.58233505487442
"cmpl-5kwPnlrFKHF6jHmwtR53XvIHHEmW1","0.6","0","3","202208003","2022080016","book","coaster for your drink so it doesn't leave water ring on the table",0.689402848482132
"cmpl-5kwPnlrFKHF6jHmwtR53XvIHHEmW1","0.6","0","3","202208003","2022080017","book","level out wobbly table or chair",0.740221053361893
"cmpl-5kwPnlrFKHF6jHmwtR53XvIHHEmW1","0.6","0","3","202208003","2022080018","book","doorstop",0.847085744142532
"cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH","0.6","0","4","202208004","2022080020","book","paperweight hold down papers or other objects",0.636965900659561
"cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH","0.6","0","4","202208004","2022080021","book","doorstop keep door open",0.713853746652603
"cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH","0.6","0","4","202208004","2022080022","book","coaster for drinks",0.798601865768433
"cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH","0.6","0","4","202208004","2022080023","book","prop up computer screen",0.744060605764389
"cmpl-5kwPqv9E0gQBeMkkLWiz2EmAQilPH","0.6","0","4","202208004","2022080024","book","decoration on shelf or table",0.707938015460968
"cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ","0.6","0","5","202208005","2022080026","book","doorstop",0.847085744142532
"cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ","0.6","0","5","202208005","2022080027","book","help level table or shelf",0.622305601835251
"cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ","0.6","0","5","202208005","2022080028","book","paperweight",0.939968150109053
"cmpl-5kwPuIencVraOk7H7ZJMAVM2Q7gIJ","0.6","0","5","202208005","2022080029","book","stacked d makeshift stool or chair",0.830178037285805
