id,gpt3_id,gpt3_created,gpt3_model,engine,timestamp,temperature,presence_penalty,frequency_penalty,instr_text,aut_object,gpt3_response
1,cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,1653058840,text-davinci:002,text-davinci-002,2022-05-20 17:00:44.079207,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,
1,cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,1653058840,text-davinci:002,text-davinci-002,2022-05-20 17:00:44.079207,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used as a door stop
1,cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,1653058840,text-davinci:002,text-davinci-002,2022-05-20 17:00:44.079207,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used to start a fire in an emergency situation
1,cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,1653058840,text-davinci:002,text-davinci-002,2022-05-20 17:00:44.079207,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used as a paperweight
1,cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,1653058840,text-davinci:002,text-davinci-002,2022-05-20 17:00:44.079207,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used to prop up a table or chair leg that is wobbling
1,cmpl-59yPI70TEqZxYmHwgnCL4krL1wZFH,1653058840,text-davinci:002,text-davinci-002,2022-05-20 17:00:44.079207,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used as a coaster for drinks to protect
2,cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,1653058844,text-davinci:002,text-davinci-002,2022-05-20 17:00:47.153821,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,
2,cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,1653058844,text-davinci:002,text-davinci-002,2022-05-20 17:00:47.153821,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used as a doorstop
2,cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,1653058844,text-davinci:002,text-davinci-002,2022-05-20 17:00:47.153821,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used to prop up a wobbly table
2,cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,1653058844,text-davinci:002,text-davinci-002,2022-05-20 17:00:47.153821,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used as a paperweight
2,cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,1653058844,text-davinci:002,text-davinci-002,2022-05-20 17:00:47.153821,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used to make a papier-mâché mask
2,cmpl-59yPMcKhNs3l48AYrHhR5sousvIdr,1653058844,text-davinci:002,text-davinci-002,2022-05-20 17:00:47.153821,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be cut up and made into a collage
3,cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,1653058847,text-davinci:002,text-davinci-002,2022-05-20 17:00:51.032914,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,
3,cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,1653058847,text-davinci:002,text-davinci-002,2022-05-20 17:00:51.032914,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used as a door stop
3,cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,1653058847,text-davinci:002,text-davinci-002,2022-05-20 17:00:51.032914,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used to hold up a table leg
3,cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,1653058847,text-davinci:002,text-davinci-002,2022-05-20 17:00:51.032914,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used as a coaster for your beverage
3,cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,1653058847,text-davinci:002,text-davinci-002,2022-05-20 17:00:51.032914,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used to fan yourself on a hot day
3,cmpl-59yPPmCqhzNQFwIKtWPlXRnuU5ZS5,1653058847,text-davinci:002,text-davinci-002,2022-05-20 17:00:51.032914,0.65,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,A book can be used as a weight to keep paper from flying away in the wind
4,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,1653058851,text-davinci:002,text-davinci-002,2022-05-20 17:00:53.690305,0.66,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,
4,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,1653058851,text-davinci:002,text-davinci-002,2022-05-20 17:00:53.690305,0.66,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,Bookend
4,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,1653058851,text-davinci:002,text-davinci-002,2022-05-20 17:00:53.690305,0.66,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,Doorstop
4,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,1653058851,text-davinci:002,text-davinci-002,2022-05-20 17:00:53.690305,0.66,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,Paperweight
4,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,1653058851,text-davinci:002,text-davinci-002,2022-05-20 17:00:53.690305,0.66,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,Decoration
4,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,1653058851,text-davinci:002,text-davinci-002,2022-05-20 17:00:53.690305,0.66,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,Cat bed/house
4,cmpl-59yPTYdTaZ7HRdXeSnCHerNyww3Uc,1653058851,text-davinci:002,text-davinci-002,2022-05-20 17:00:53.690305,0.66,1,1,"What are some creative uses for a book? The goal is to come up with creative ideaswhich are ideas that strike people as cleverunusualinterestinguncommonhumorousinnovativeor different. List 10 creative uses for a book.",book,Dog house/kennel
